t_video_s,vehicles_in_frame,count_total,avg_speed_kmh,congestion_score,count_car,count_bus,count_motorcycle,count_truck
0.0,0,0,0.0,0.4,0,0,0,0
1.001,0,0,0.0,0.4,0,0,0,0
2.002,2,0,3.6831568738157974,0.41089124168245605,0,0,0,0
3.003,1,7,5.1554417951124965,0.3612607760651667,0,0,7,0
4.004,1,7,6.5386985535112805,0.3428173526198496,0,0,7,0
5.005,0,7,0.0,0.4,0,0,7,0
6.006,2,7,7.742480564723489,0.35676692580368685,0,0,7,0
7.007,2,7,2.6216110799162307,0.425045185601117,0,0,7,0
8.008,4,7,3.3746827618882134,0.4750042298414905,0,0,7,0
9.009,3,7,2.5309179298547386,0.4562544276019368,0,0,7,0
10.01,2,7,1.805964970113764,0.43592046706514986,0,0,7,0
11.011,2,7,2.0223070967987904,0.43303590537601616,0,0,7,0
12.012,1,7,2.0132313533933743,0.4031569152880884,0,0,7,0
13.013,2,7,2.6617590963513607,0.4245098787153152,0,0,7,0
14.014,2,7,1.669895500843927,0.4377347266554143,0,0,7,0
15.015,4,10,4.22102453350347,0.4637196728866204,0,0,10,0
16.016,3,15,3.382890538744365,0.4448947928167418,0,0,15,0
17.017,3,17,7.1147949712877825,0.3951360670494962,0,0,17,0
18.018,3,23,5.027572569764256,0.42296569906980996,0,0,23,0
19.019,4,28,8.347517784177624,0.4086997628776317,0,0,28,0
20.02,2,28,4.244374492410788,0.40340834010118953,0,0,28,0
21.021,1,28,1.5712159974026232,0.4090504533679651,0,0,28,0
22.022,1,29,3.9625840714826985,0.3771655457135641,1,0,28,0
23.023,1,30,7.1846882483313275,0.3342041566889157,2,0,28,0
24.024,3,30,4.642516321519099,0.42809978237974533,2,0,28,0
